id,status,created_by,created_on,modified_by,modified_on,order_num,territorycode,territorylevel,territoryname,territory_pinyin,territorysort,x_wgs84,y_wgs84,territoryparentid
944,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370303,4,张店区,ZDQ,0,118.017656,36.806773,90
945,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370304,4,博山区,BSQ,0,117.861698,36.494752,90
946,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370305,4,临淄区,LZQ,0,118.308977,36.827343,90
947,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370306,4,周村区,ZCQ,0,117.869877,36.803109,90
948,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370321,4,桓台县,HTX,0,118.097955,36.959623,90
949,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370322,4,高青县,GQX,0,117.826916,37.171063,90
95,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370800,3,济宁市,JNS,0,116.587099,35.414921,18
950,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370323,4,沂源县,YYX,0,118.170979,36.184827,90
951,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370402,4,市中区,SZQ,0,117.556124,34.864114,91
952,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370403,4,薛城区,YCQ,0,117.263157,34.795206,91
953,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370404,4,峄城区,YCQ,0,117.590819,34.772236,91
954,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370405,4,台儿庄区,TEZQ,0,117.733832,34.562528,91
955,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370406,4,山亭区,STQ,0,117.461343,35.099549,91
956,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370481,4,滕州市,TZS,0,117.164388,35.084021,91
957,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370502,4,东营区,DYQ,0,118.582184,37.448964,92
958,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370503,4,河口区,HKQ,0,118.525579,37.886138,92
959,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370521,4,垦利县,KLX,0,118.547627,37.58754,92
960,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370522,4,利津县,LJX,0,118.255273,37.49026,92
961,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370523,4,广饶县,GRX,0,118.407045,37.0537,92
962,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370602,4,芝罘区,ZFQ,0,121.400031,37.540687,93
963,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370611,4,福山区,FSQ,0,121.267697,37.498051,93
964,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370612,4,牟平区,MPQ,0,121.600512,37.386901,93
965,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370613,4,莱山区,LSQ,0,121.445304,37.511305,93
966,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370614,4,开发区,KFQ,0,121.251001,37.554683,93
967,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370634,4,长岛县,CDX,0,120.736584,37.921417,93
968,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370681,4,龙口市,LKS,0,120.477836,37.646064,93
969,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370682,4,莱阳市,LYS,0,120.711607,36.97891,93
970,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370683,4,莱州市,LZS,0,119.942327,37.177017,93
971,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370684,4,蓬莱市,PLS,0,120.758848,37.810661,93
972,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370685,4,招远市,ZYS,0,120.434072,37.355469,93
973,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370686,4,栖霞市,QXS,0,120.849675,37.335123,93
974,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370687,4,海阳市,HYS,0,121.158477,36.776425,93
975,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370702,4,潍城区,WCQ,0,119.024836,36.7281,94
976,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370703,4,寒亭区,HTQ,0,119.219734,36.775491,94
977,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370704,4,坊子区,FZQ,0,119.166485,36.654448,94
978,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370705,4,奎文区,KWQ,0,119.132486,36.707676,94
979,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370724,4,临朐县,LQX,0,118.542982,36.5125059,94
980,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370725,4,昌乐县,CLX,0,118.829914,36.706945,94
981,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370781,4,青州市,QZS,0,118.479622,36.684528,94
982,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370782,4,诸城市,ZCS,0,119.410103,35.995654,94
983,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370783,4,寿光市,SGS,0,118.790652,36.85548,94
984,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370784,4,安丘市,AQS,0,119.218978,36.478494,94
985,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370785,4,高密市,GMS,0,119.755597,36.3825949,94
986,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370786,4,昌邑市,CYS,0,119.398525,36.85882,94
987,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370802,4,市中区,SZQ,0,116.596614,35.40819,95
988,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370811,4,任城区,RCQ,0,116.628562,35.433727,95
989,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370826,4,微山县,WSX,0,117.128946,34.8071,95
990,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370827,4,鱼台县,YTX,0,116.650608,35.012749,95
991,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370828,4,金乡县,JXX,0,116.311532,35.06662,95
992,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370829,4,嘉祥县,JXX,0,116.342442,35.407829,95
993,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370830,4,汶上县,WSX,0,116.489043,35.732799,95
994,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370831,4,泗水县,SSX,0,117.251195,35.664323,95
995,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370832,4,梁山县,LSX,0,116.096044,35.802306,95
996,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370881,4,曲阜市,QFS,0,116.986532,35.581137,95
997,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370882,4,兖州市,YZS,0,116.783834,35.553144,95
998,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370883,4,邹城市,ZCS,0,117.003743,35.405185,95
999,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370902,4,泰山区,TSQ,0,117.135354,36.192084,96
